day	phase	fly_01	fly_02	fly_03	fly_04	fly_05	fly_06	fly_07	fly_08	fly_09	fly_10	fly_11	fly_12	fly_13	fly_14	fly_15	fly_16	fly_17	fly_18	fly_19	fly_20	fly_21	fly_22	fly_23	fly_24	fly_25	fly_26	fly_27	fly_28	fly_29	fly_30	fly_31	fly_32
1	Night	245	52	468	456	50	133	128	67	295	202	73	232	74	131	49	180	86	120	34	172	160	186	178	233	164	280	26	84	17	97	169	227
2	Night	54	204	155	239	132	67	48	47	37	82	77	87	21	108	27	153	226	115	29	112	69	112	29	248	41	288	23	34	44	23	51	102
3	Night	72	0	113	240	189	73	83	133	75	116	114	118	55	98	60	147	167	88	125	157	110	178	35	230	53	105	49	97	42	68	49	141
1	Day	473	553	1228	647	949	443	452	375	582	527	937	651	1036	786	574	969	736	646	476	761	806	588	1703	438	386	486	1354	798	131	635	489	249
2	Day	569	229	746	467	833	345	397	314	339	603	643	471	689	575	570	738	602	423	524	516	498	499	819	256	365	592	1107	1410	117	680	480	225
3	Day	380	0	602	459	560	414	216	345	348	382	508	500	569	542	402	618	471	332	361	525	513	337	578	321	319	369	831	1594	56	551	317	243
1	TOTAL	718	605	1696	1103	999	576	580	442	877	729	1010	883	1110	917	623	1149	822	766	510	933	966	774	1881	671	550	766	1380	882	148	732	658	476
2	TOTAL	623	433	901	706	965	412	445	361	376	685	720	558	710	683	597	891	828	538	553	628	567	611	848	504	406	880	1130	1444	161	703	531	327
3	TOTAL	452	0	715	699	749	487	299	478	423	498	622	618	624	640	462	765	638	420	486	682	623	515	613	551	372	474	880	1691	98	619	366	384
