fly_id	mo_anticip_1	mo_anticip_2	mo_anticip_3	ev_anticip_1	ev_anticip_2	ev_anticip_3
fly_01	0.0673076923076923	NA	NA	0.211267605633803	-0.551020408163265	0.951219512195122
fly_02	1	1	NA	1	-0.949367088607595	NA
fly_03	-0.0655737704918033	NA	NA	-0.263157894736842	0.0222222222222222	0.0930232558139535
fly_04	NA	NA	NA	0.58041958041958	0.646153846153846	0.414141414141414
fly_05	NA	NA	NA	0.0980392156862745	0.490909090909091	0.301587301587302
fly_06	0	NA	NA	0.142857142857143	0.268292682926829	0.781512605042017
fly_07	-0.714285714285714	NA	NA	0.428571428571429	0.441441441441441	0.787234042553192
fly_08	NA	NA	NA	-0.0967741935483871	0.416666666666667	0.102362204724409
fly_09	0.65296803652968	NA	NA	-0.492753623188406	0.296296296296296	-0.296296296296296
fly_10	-1	NA	NA	-0.2	0.411764705882353	1
fly_11	NA	NA	NA	-0.770114942528736	0.0666666666666667	-0.44
fly_12	-1	NA	NA	-0.76	0.442622950819672	-0.220588235294118
fly_13	NA	NA	NA	-0.586206896551724	-0.28	0.342857142857143
fly_14	NA	NA	NA	0.30635838150289	0.210884353741497	0.155555555555556
fly_15	NA	NA	NA	-1	-0.25	-0.6
fly_16	-0.130434782608696	NA	NA	0.532994923857868	-0.287958115183246	0.0825688073394495
fly_17	-1	-0.247524752475248	NA	0.116279069767442	0.276595744680851	0.0825688073394495
fly_18	NA	NA	NA	-0.338709677419355	0.363636363636364	0.283018867924528
fly_19	-1	NA	NA	0.25	-0.428571428571429	-0.56
fly_20	NA	NA	NA	0.225806451612903	-0.39568345323741	-0.316326530612245
fly_21	0.65625	1	NA	0.486910994764398	0.46551724137931	0.515789473684211
fly_22	NA	NA	NA	0.146067415730337	0.46031746031746	0.628865979381443
fly_23	0.25	-1	-1	-0.688524590163934	0.0689655172413793	-0.381818181818182
fly_24	NA	NA	NA	-0.333333333333333	-0.294117647058824	0.333333333333333
fly_25	-1	NA	NA	-0.0909090909090909	0.115384615384615	-0.127272727272727
fly_26	-0.132075471698113	-0.32967032967033	NA	0.602564102564103	0.806451612903226	0.0989010989010989
fly_27	NA	NA	NA	-0.648979591836735	-0.8375	-0.854545454545454
fly_28	NA	NA	NA	-0.899280575539568	-1	-0.116129032258065
fly_29	NA	NA	NA	0	0.837837837837838	-0.454545454545455
fly_30	NA	NA	NA	-0.11304347826087	-0.220588235294118	-0.683168316831683
fly_31	-1	NA	NA	0.730769230769231	0.316666666666667	0.676767676767677
fly_32	1	1	1	0.505154639175258	0.923076923076923	1
