fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	22.79	167	336.5	48.6	26.94	60.67
fly_02	60.45	44.71	720	63.11	51.08	720
fly_03	31	72.56	88.86	22	29.44	25.42
fly_04	57	95.5	142.75	37.67	30.25	24.19
fly_05	40.06	300	195.33	24.38	18.04	19.17
fly_06	62.7	72.33	80.62	24.8	29.12	24.68
fly_07	69.11	167	72.89	22.36	28.89	54.73
fly_08	50.23	94.14	64.22	17.33	15.18	14.91
fly_09	16.77	87	76.11	13.85	18.15	17.36
fly_10	50	89.14	103.83	31.62	31.5	86.5
fly_11	55.25	111.67	129.2	22.36	33	37.92
fly_12	28.91	131.6	68.11	32.93	40.62	32.06
fly_13	49	138.4	63.6	23.07	26.93	27.56
fly_14	84.29	310	125	21.39	17.41	19.78
fly_15	39.94	85.88	160.75	36.53	51.6	55.7
fly_16	33	87.57	102.17	27.56	28.88	30.35
fly_17	26.52	34.81	63.89	23.58	25.05	24.5
fly_18	59.3	103.83	203.33	14.07	26.39	28.83
fly_19	49.43	115.5	126.2	87.43	63	31.63
fly_20	50.55	85.43	80.71	20.41	24.5	15.42
fly_21	27.41	64.1	102.67	16	16.43	16.68
fly_22	55.8	66.44	65.67	17.83	23.45	23.8
fly_23	23.64	74.78	56.58	19.57	27.73	22.29
fly_24	46.75	96.17	189.33	17.72	21.52	17.69
fly_25	27.52	84.62	74.11	32.41	23.52	25.64
fly_26	23.33	32.61	62.44	17.21	23.95	19.23
fly_27	87.38	116.17	82.62	12.35	18.55	19.43
fly_28	39.24	178	117.5	23.18	24.58	16.68
fly_29	178.75	72.22	58.91	38.59	32.15	37.53
fly_30	63.7	112.17	210	14.64	17.27	21.9
fly_31	44.07	64	92.86	27.88	26.67	31.12
fly_32	61.3	68.44	98.17	27.18	41.57	60.8
