fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	218	641	663	85	117	209
fly_02	451	219	720	301	155	720
fly_03	133	462	509	138	81	73
fly_04	393	526	458	230	113	143
fly_05	494	578	572	211	175	71
fly_06	257	585	520	94	90	100
fly_07	291	564	552	144	115	164
fly_08	504	414	402	36	44	52
fly_09	67	481	476	44	54	48
fly_10	301	542	580	167	227	409
fly_11	390	634	620	210	153	154
fly_12	218	620	535	178	182	164
fly_13	414	584	550	186	83	166
fly_14	489	613	584	63	41	46
fly_15	414	540	550	261	205	230
fly_16	161	492	516	55	76	88
fly_17	300	257	478	205	120	94
fly_18	470	574	583	96	244	88
fly_19	351	627	592	255	204	109
fly_20	414	552	444	89	61	70
fly_21	124	414	571	61	69	40
fly_22	360	520	531	62	70	89
fly_23	142	320	319	75	98	64
fly_24	446	538	547	104	72	89
fly_25	245	600	452	179	64	80
fly_26	64	193	397	47	73	49
fly_27	479	603	583	36	51	87
fly_28	425	633	576	171	185	40
fly_29	603	584	531	321	148	139
fly_30	467	633	612	55	57	58
fly_31	265	539	407	100	82	121
fly_32	521	485	546	149	221	257
