fly_id	Subset_1	Subset_2	Subset_3
fly_01	22	361	361
fly_02	215	199	361
fly_03	6	361	361
fly_04	361	361	361
fly_05	361	361	361
fly_06	77	361	361
fly_07	23	361	361
fly_08	361	361	361
fly_09	10	361	361
fly_10	54	361	361
fly_11	361	361	361
fly_12	23	361	361
fly_13	361	361	361
fly_14	361	361	361
fly_15	361	361	361
fly_16	2	361	361
fly_17	5	112	361
fly_18	361	361	361
fly_19	9	361	361
fly_20	361	361	361
fly_21	77	255	361
fly_22	361	361	361
fly_23	58	39	39
fly_24	361	361	361
fly_25	57	361	361
fly_26	39	25	361
fly_27	361	361	361
fly_28	361	361	361
fly_29	361	361	361
fly_30	361	361	361
fly_31	7	361	361
fly_32	301	310	310
