fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	21	0	0	0	10	4
fly_02	8	6	0	3	10	0
fly_03	7	4	4	7	6	6
fly_04	5	3	1	0	6	10
fly_05	10	1	1	6	16	13
fly_06	6	6	7	9	8	10
fly_07	5	1	6	13	11	7
fly_08	8	2	5	11	17	17
fly_09	24	5	4	6	11	17
fly_10	6	2	5	9	5	4
fly_11	7	4	3	5	6	5
fly_12	15	2	5	6	5	9
fly_13	11	2	2	2	4	8
fly_14	3	0	3	4	12	11
fly_15	14	5	1	6	3	6
fly_16	11	2	3	8	8	11
fly_17	12	12	4	8	4	6
fly_18	4	3	1	11	6	11
fly_19	12	3	2	4	1	15
fly_20	3	3	3	7	5	9
fly_21	18	6	2	11	18	13
fly_22	6	6	4	13	11	7
fly_23	14	5	11	6	8	11
fly_24	3	2	0	12	19	15
fly_25	12	4	5	5	15	15
fly_26	20	12	4	11	9	12
fly_27	6	3	3	9	8	8
fly_28	12	3	4	9	3	8
fly_29	3	3	5	9	15	11
fly_30	7	3	0	9	12	10
fly_31	7	3	5	7	10	7
fly_32	5	6	3	18	10	6
