fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	70	52	8	216	235	174
fly_02	50	59	0	96	56	0
fly_03	147	40	43	237	249	237
fly_04	123	46	21	268	236	212
fly_05	75	2	6	294	305	279
fly_06	66	50	15	224	225	177
fly_07	35	18	27	214	200	118
fly_08	67	46	98	252	204	187
fly_09	127	24	35	340	248	234
fly_10	118	96	11	214	279	176
fly_11	48	17	16	407	324	227
fly_12	65	15	107	226	192	175
fly_13	34	18	69	374	316	279
fly_14	67	21	37	284	250	248
fly_15	41	33	77	172	204	163
fly_16	66	51	20	252	229	185
fly_17	108	43	35	272	243	230
fly_18	68	24	25	312	231	188
fly_19	28	27	89	108	153	119
fly_20	153	55	53	321	328	305
fly_21	54	56	33	306	260	281
fly_22	162	36	44	310	251	244
fly_23	110	36	24	176	304	252
fly_24	120	81	18	232	139	207
fly_25	87	43	35	169	179	156
fly_26	90	93	51	215	241	220
fly_27	20	15	59	436	349	312
fly_28	53	8	15	210	253	303
fly_29	5	70	72	64	77	82
fly_30	41	36	29	341	340	282
fly_31	100	66	19	246	226	191
fly_32	70	65	91	93	98	81
