fly_id	Subset_1	Subset_2	Subset_3
fly_01	13.17	360	360
fly_02	179.5	87.75	360
fly_03	36.44	360	360
fly_04	360	360	360
fly_05	360	360	360
fly_06	88.75	360	360
fly_07	89.25	360	360
fly_08	360	360	360
fly_09	14	360	360
fly_10	177	360	360
fly_11	360	360	360
fly_12	34	360	360
fly_13	360	360	360
fly_14	360	360	360
fly_15	360	360	360
fly_16	69.6	360	360
fly_17	70.2	42.5	360
fly_18	360	360	360
fly_19	179.5	360	360
fly_20	360	360	360
fly_21	43.25	179.5	360
fly_22	360	360	360
fly_23	71	179	178.5
fly_24	360	360	360
fly_25	119	360	360
fly_26	42.62	30.73	360
fly_27	360	360	360
fly_28	360	360	360
fly_29	360	360	360
fly_30	360	360	360
fly_31	86.5	360	360
fly_32	80	158.5	160
