fly	phase	day	lengths
fly_01	Night	1	16
fly_01	Night	1	18
fly_01	Night	1	34
fly_01	Night	1	218
fly_01	Night	1	57
fly_01	Night	1	33
fly_01	Night	1	39
fly_01	Night	1	27
fly_01	Night	1	5
fly_01	Night	1	10
fly_01	Night	1	12
fly_01	Night	1	6
fly_01	Night	1	8
fly_01	Night	1	15
fly_01	Night	1	8
fly_01	Night	1	8
fly_01	Night	1	17
fly_01	Night	1	6
fly_01	Night	1	8
fly_01	Night	1	7
fly_01	Night	1	13
fly_01	Night	1	5
fly_01	Night	1	6
fly_01	Night	1	9
fly_01	Night	1	7
fly_01	Night	1	15
fly_01	Night	1	10
fly_01	Night	1	21
fly_02	Night	1	8
fly_02	Night	1	7
fly_02	Night	1	10
fly_02	Night	1	5
fly_02	Night	1	6
fly_02	Night	1	6
fly_02	Night	1	9
fly_02	Night	1	9
fly_02	Night	1	9
fly_02	Night	1	451
fly_02	Night	1	145
fly_03	Night	1	5
fly_03	Night	1	5
fly_03	Night	1	6
fly_03	Night	1	6
fly_03	Night	1	7
fly_03	Night	1	5
fly_03	Night	1	42
fly_03	Night	1	6
fly_03	Night	1	130
fly_03	Night	1	23
fly_03	Night	1	8
fly_03	Night	1	79
fly_03	Night	1	13
fly_03	Night	1	19
fly_03	Night	1	10
fly_03	Night	1	23
fly_03	Night	1	38
fly_03	Night	1	133
fly_04	Night	1	5
fly_04	Night	1	7
fly_04	Night	1	13
fly_04	Night	1	18
fly_04	Night	1	23
fly_04	Night	1	19
fly_04	Night	1	20
fly_04	Night	1	15
fly_04	Night	1	393
fly_05	Night	1	6
fly_05	Night	1	8
fly_05	Night	1	7
fly_05	Night	1	5
fly_05	Night	1	13
fly_05	Night	1	9
fly_05	Night	1	5
fly_05	Night	1	10
fly_05	Night	1	12
fly_05	Night	1	13
fly_05	Night	1	5
fly_05	Night	1	13
fly_05	Night	1	5
fly_05	Night	1	10
fly_05	Night	1	26
fly_05	Night	1	494
fly_06	Night	1	9
fly_06	Night	1	6
fly_06	Night	1	5
fly_06	Night	1	11
fly_06	Night	1	23
fly_06	Night	1	37
fly_06	Night	1	257
fly_06	Night	1	69
fly_06	Night	1	32
fly_06	Night	1	178
fly_07	Night	1	5
fly_07	Night	1	12
fly_07	Night	1	13
fly_07	Night	1	17
fly_07	Night	1	50
fly_07	Night	1	190
fly_07	Night	1	36
fly_07	Night	1	291
fly_07	Night	1	8
fly_08	Night	1	15
fly_08	Night	1	5
fly_08	Night	1	7
fly_08	Night	1	6
fly_08	Night	1	7
fly_08	Night	1	13
fly_08	Night	1	21
fly_08	Night	1	7
fly_08	Night	1	15
fly_08	Night	1	24
fly_08	Night	1	14
fly_08	Night	1	15
fly_08	Night	1	504
fly_09	Night	1	7
fly_09	Night	1	10
fly_09	Night	1	24
fly_09	Night	1	17
fly_09	Night	1	22
fly_09	Night	1	10
fly_09	Night	1	42
fly_09	Night	1	7
fly_09	Night	1	22
