fly_id	Subset_1	Subset_2	Subset_3
fly_01	0	0	0
fly_02	0	0	0
fly_03	3	0	0
fly_04	0	0	0
fly_05	0	0	0
fly_06	3	0	0
fly_07	1	0	0
fly_08	0	0	0
fly_09	1	0	0
fly_10	1	0	0
fly_11	0	0	0
fly_12	2	0	0
fly_13	0	0	0
fly_14	0	0	0
fly_15	0	0	0
fly_16	0	0	0
fly_17	1	0	0
fly_18	0	0	0
fly_19	0	0	0
fly_20	0	0	0
fly_21	2	0	0
fly_22	0	0	0
fly_23	1	0	0
fly_24	0	0	0
fly_25	1	0	0
fly_26	2	0	0
fly_27	0	0	0
fly_28	0	0	0
fly_29	0	0	0
fly_30	0	0	0
fly_31	1	0	0
fly_32	0	0	0
