fly	phase	day	lengths
fly_01	Day	1	4
fly_01	Day	1	10
fly_01	Day	1	10
fly_01	Day	1	40
fly_01	Day	1	14
fly_01	Day	1	5
fly_01	Day	1	6
fly_01	Day	1	231
fly_01	Day	1	11
fly_02	Day	1	3
fly_02	Day	1	13
fly_02	Day	1	18
fly_02	Day	1	13
fly_02	Day	1	10
fly_02	Day	1	30
fly_02	Day	1	5
fly_02	Day	1	30
fly_02	Day	1	9
fly_02	Day	1	5
fly_02	Day	1	51
fly_02	Day	1	17
fly_02	Day	1	38
fly_02	Day	1	30
fly_02	Day	1	12
fly_02	Day	1	21
fly_03	Day	1	360
fly_04	Day	1	148
fly_04	Day	1	69
fly_04	Day	1	141
fly_05	Day	1	3
fly_05	Day	1	32
fly_05	Day	1	64
fly_05	Day	1	6
fly_05	Day	1	18
fly_05	Day	1	27
fly_05	Day	1	8
fly_05	Day	1	142
fly_05	Day	1	9
fly_05	Day	1	9
fly_05	Day	1	7
fly_06	Day	1	114
fly_06	Day	1	22
fly_06	Day	1	35
fly_06	Day	1	6
fly_06	Day	1	68
fly_06	Day	1	48
fly_06	Day	1	7
fly_06	Day	1	18
fly_06	Day	1	17
fly_07	Day	1	360
fly_08	Day	1	1
fly_08	Day	1	16
fly_08	Day	1	29
fly_08	Day	1	299
fly_09	Day	1	21
fly_09	Day	1	56
fly_09	Day	1	86
fly_09	Day	1	185
fly_10	Day	1	5
fly_10	Day	1	16
fly_10	Day	1	8
fly_10	Day	1	8
fly_10	Day	1	45
fly_10	Day	1	5
fly_10	Day	1	14
fly_10	Day	1	8
fly_10	Day	1	7
fly_10	Day	1	34
fly_10	Day	1	22
fly_10	Day	1	6
fly_10	Day	1	22
fly_10	Day	1	46
fly_10	Day	1	22
fly_10	Day	1	30
fly_10	Day	1	39
fly_11	Day	1	4
fly_11	Day	1	7
fly_11	Day	1	25
fly_11	Day	1	52
fly_11	Day	1	244
fly_11	Day	1	5
fly_11	Day	1	5
fly_12	Day	1	360
fly_13	Day	1	4
fly_13	Day	1	10
fly_13	Day	1	12
fly_13	Day	1	55
fly_13	Day	1	11
fly_13	Day	1	15
fly_13	Day	1	8
fly_13	Day	1	12
fly_13	Day	1	6
fly_13	Day	1	9
fly_13	Day	1	5
fly_13	Day	1	10
fly_13	Day	1	12
fly_13	Day	1	148
fly_13	Day	1	13
fly_14	Day	1	4
fly_14	Day	1	21
fly_14	Day	1	8
fly_14	Day	1	8
fly_14	Day	1	5
fly_14	Day	1	31
fly_14	Day	1	8
fly_14	Day	1	9
fly_14	Day	1	14
fly_14	Day	1	5
fly_14	Day	1	69
fly_14	Day	1	34
fly_14	Day	1	24
fly_14	Day	1	37
fly_14	Day	1	12
fly_14	Day	1	18
fly_14	Day	1	9
fly_15	Day	1	5
fly_15	Day	1	25
fly_15	Day	1	49
fly_15	Day	1	15
fly_15	Day	1	145
fly_15	Day	1	69
fly_15	Day	1	39
fly_16	Day	1	6
fly_16	Day	1	6
fly_16	Day	1	11
fly_16	Day	1	21
fly_16	Day	1	45
fly_16	Day	1	14
fly_16	Day	1	30
fly_16	Day	1	59
fly_16	Day	1	10
fly_16	Day	1	7
fly_16	Day	1	7
fly_16	Day	1	33
fly_16	Day	1	72
fly_17	Day	1	1
fly_17	Day	1	10
fly_17	Day	1	12
fly_17	Day	1	18
fly_17	Day	1	9
fly_17	Day	1	42
fly_17	Day	1	13
fly_17	Day	1	13
fly_17	Day	1	15
fly_17	Day	1	8
fly_17	Day	1	5
fly_17	Day	1	5
fly_17	Day	1	15
fly_17	Day	1	16
fly_17	Day	1	10
fly_17	Day	1	9
fly_17	Day	1	14
fly_17	Day	1	15
fly_17	Day	1	28
fly_17	Day	1	43
fly_18	Day	1	20
fly_18	Day	1	82
fly_18	Day	1	77
fly_18	Day	1	131
fly_18	Day	1	16
fly_18	Day	1	10
fly_19	Day	1	37
fly_19	Day	1	183
fly_19	Day	1	13
fly_19	Day	1	12
fly_19	Day	1	75
fly_19	Day	1	35
fly_20	Day	1	20
fly_20	Day	1	152
fly_20	Day	1	184
fly_21	Day	1	19
fly_21	Day	1	340
fly_22	Day	1	2
fly_22	Day	1	39
fly_22	Day	1	49
fly_22	Day	1	45
fly_22	Day	1	220
fly_23	Day	1	6
fly_23	Day	1	8
fly_23	Day	1	344
fly_24	Day	1	360
fly_25	Day	1	7
fly_25	Day	1	6
fly_25	Day	1	291
fly_25	Day	1	9
fly_25	Day	1	42
fly_26	Day	1	2
fly_26	Day	1	336
fly_28	Day	1	57
fly_28	Day	1	301
fly_29	Day	1	6
fly_29	Day	1	6
fly_29	Day	1	336
fly_30	Day	1	1
fly_30	Day	1	55
fly_30	Day	1	15
fly_30	Day	1	31
fly_30	Day	1	108
fly_30	Day	1	64
fly_30	Day	1	44
fly_30	Day	1	7
fly_30	Day	1	23
fly_31	Day	1	23
fly_31	Day	1	12
fly_31	Day	1	319
fly_32	Day	1	73
fly_32	Day	1	20
fly_32	Day	1	33
fly_32	Day	1	105
fly_32	Day	1	125
fly_01	Day	2	360
fly_02	Day	2	360
fly_03	Day	2	360
fly_04	Day	2	360
fly_05	Day	2	360
fly_06	Day	2	360
fly_07	Day	2	360
fly_08	Day	2	30
fly_08	Day	2	10
fly_08	Day	2	60
fly_08	Day	2	94
fly_08	Day	2	13
fly_08	Day	2	143
fly_09	Day	2	55
fly_09	Day	2	304
fly_10	Day	2	119
fly_10	Day	2	240
fly_11	Day	2	360
fly_12	Day	2	360
fly_13	Day	2	85
fly_13	Day	2	274
fly_14	Day	2	88
fly_14	Day	2	14
fly_14	Day	2	9
fly_14	Day	2	238
fly_15	Day	2	58
fly_15	Day	2	20
fly_15	Day	2	280
fly_16	Day	2	14
fly_16	Day	2	12
fly_16	Day	2	8
fly_16	Day	2	32
fly_16	Day	2	6
fly_16	Day	2	270
fly_17	Day	2	19
fly_17	Day	2	340
fly_18	Day	2	360
fly_19	Day	2	85
fly_19	Day	2	41
fly_19	Day	2	24
fly_19	Day	2	196
fly_19	Day	2	7
fly_20	Day	2	360
fly_21	Day	2	16
fly_21	Day	2	343
fly_22	Day	2	360
fly_23	Day	2	360
fly_24	Day	2	14
fly_24	Day	2	339
fly_25	Day	2	360
fly_26	Day	2	360
fly_28	Day	2	15
fly_28	Day	2	344
fly_29	Day	2	360
fly_30	Day	2	360
fly_31	Day	2	35
fly_31	Day	2	15
fly_31	Day	2	16
fly_31	Day	2	199
fly_31	Day	2	14
fly_31	Day	2	21
fly_31	Day	2	49
fly_32	Day	2	360
fly_01	Day	3	360
fly_02	Day	3	360
fly_03	Day	3	40
fly_03	Day	3	319
fly_04	Day	3	360
fly_05	Day	3	360
fly_06	Day	3	360
fly_07	Day	3	360
fly_08	Day	3	86
fly_08	Day	3	10
fly_08	Day	3	18
fly_08	Day	3	243
fly_09	Day	3	360
fly_10	Day	3	360
fly_11	Day	3	360
fly_12	Day	3	360
fly_13	Day	3	39
fly_13	Day	3	5
fly_13	Day	3	314
fly_14	Day	3	360
fly_15	Day	3	360
fly_16	Day	3	64
fly_16	Day	3	295
fly_17	Day	3	110
fly_17	Day	3	16
fly_17	Day	3	226
fly_18	Day	3	360
fly_19	Day	3	31
fly_19	Day	3	316
fly_19	Day	3	8
fly_20	Day	3	360
fly_21	Day	3	76
fly_21	Day	3	13
fly_21	Day	3	47
fly_21	Day	3	221
fly_22	Day	3	360
fly_23	Day	3	360
fly_24	Day	3	360
fly_25	Day	3	360
fly_26	Day	3	360
fly_28	Day	3	33
fly_28	Day	3	114
fly_28	Day	3	199
fly_29	Day	3	360
fly_30	Day	3	4
fly_30	Day	3	19
fly_30	Day	3	332
fly_31	Day	3	360
fly_32	Day	3	360
