fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	142	0	0	36	0	0
fly_02	87	163	157	11	0	0
fly_03	105	0	112	0	0	0
fly_04	57	59	112	0	0	0
fly_05	37	164	142	0	0	0
fly_06	124	123	142	277	0	0
fly_07	118	100	87	0	0	0
fly_08	104	164	143	0	20	0
fly_09	139	164	141	0	0	20
fly_10	179	191	173	0	0	37
fly_11	238	143	173	0	0	33
fly_12	63	78	110	16	0	0
fly_13	180	202	142	274	0	0
fly_14	43	107	59	278	0	0
fly_15	135	200	143	27	0	0
fly_16	16	85	0	0	0	0
fly_17	123	0	0	19	3	3
fly_18	86	120	100	81	0	0
fly_19	10	40	87	0	31	22
fly_20	125	178	179	0	0	24
fly_21	0	185	155	0	0	19
fly_22	7	71	87	0	0	0
fly_23	41	149	83	0	0	0
fly_24	86	122	141	0	0	0
fly_25	63	121	97	21	0	0
fly_26	88	145	85	0	0	0
fly_28	19	15	40	0	0	0
fly_29	87	60	111	0	0	14
fly_30	180	80	96	14	0	6
fly_31	64	144	188	0	15	22
fly_32	63	122	61	0	0	26
