fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	4	2	0	3	0	0
fly_02	9	0	3	2	5	4
fly_03	1	0	5	3	4	3
fly_04	2	1	2	4	0	8
fly_05	7	0	2	2	2	1
fly_06	5	3	2	5	4	1
fly_07	4	0	0	1	1	6
fly_08	0	8	4	1	1	1
fly_09	5	1	0	0	2	5
fly_10	10	1	0	3	0	0
fly_11	5	1	2	2	4	4
fly_12	1	0	1	2	3	5
fly_13	12	2	4	1	3	0
fly_14	11	6	4	2	4	4
fly_15	5	5	1	0	0	0
fly_16	9	3	2	2	0	2
fly_17	11	4	1	3	1	3
fly_18	1	0	1	3	3	7
fly_19	9	3	2	2	2	2
fly_20	1	2	1	6	2	0
fly_21	4	5	3	0	1	0
fly_22	5	7	0	2	2	3
fly_23	2	0	1	4	3	6
fly_24	0	1	0	1	0	1
fly_25	3	1	2	0	3	3
fly_26	2	2	1	1	2	1
fly_28	2	2	2	2	2	4
fly_29	2	1	0	4	4	6
fly_30	7	2	1	0	3	3
fly_31	2	4	0	2	3	2
fly_32	7	0	5	9	3	1
