fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	7	5	0	5	0	0
fly_02	8	5	5	5	5	6
fly_03	5	4	6	5	9	7
fly_04	2	3	3	5	3	3
fly_05	9	4	5	4	10	6
fly_06	5	6	5	9	8	6
fly_07	5	3	3	9	9	9
fly_08	7	3	3	7	6	7
fly_09	8	6	4	8	4	7
fly_10	5	8	3	8	6	7
fly_11	7	4	4	5	5	4
fly_12	5	3	3	9	9	9
fly_13	9	7	6	8	6	0
fly_14	8	8	4	5	6	5
fly_15	7	7	4	8	6	7
fly_16	10	7	7	6	3	4
fly_17	11	6	8	7	9	7
fly_18	9	5	5	9	7	6
fly_19	6	3	6	8	10	7
fly_20	8	4	3	6	5	7
fly_21	6	6	3	6	4	5
fly_22	8	5	4	5	6	6
fly_23	6	4	4	7	9	5
fly_24	5	6	3	5	7	7
fly_25	6	3	5	4	6	5
fly_26	6	4	3	7	4	7
fly_28	7	6	8	4	5	4
fly_29	6	3	5	7	8	6
fly_30	7	6	6	9	10	10
fly_31	6	7	4	5	5	6
fly_32	9	3	5	7	5	5
