fly_id	Subset_1	Subset_2	Subset_3
fly_01	231	360	360
fly_02	51	360	360
fly_03	360	360	319
fly_04	148	360	360
fly_05	142	360	360
fly_06	114	360	360
fly_07	360	360	360
fly_08	299	143	243
fly_09	185	304	360
fly_10	46	240	360
fly_11	244	360	360
fly_12	360	360	360
fly_13	148	274	314
fly_14	69	238	360
fly_15	145	280	360
fly_16	72	270	295
fly_17	43	340	226
fly_18	131	360	360
fly_19	183	196	316
fly_20	184	360	360
fly_21	340	343	221
fly_22	220	360	360
fly_23	344	360	360
fly_24	360	339	360
fly_25	291	360	360
fly_26	336	360	360
fly_28	301	344	199
fly_29	336	360	360
fly_30	108	360	332
fly_31	319	199	360
fly_32	125	360	360
