day	phase	fly_01	fly_02	fly_03	fly_04	fly_05	fly_06	fly_07	fly_08	fly_09	fly_10	fly_11	fly_12	fly_13	fly_14	fly_15	fly_16	fly_17	fly_18	fly_19	fly_20	fly_21	fly_22	fly_23	fly_24	fly_25	fly_26	fly_28	fly_29	fly_30	fly_31	fly_32
1	Night	473	381	475	215	557	494	412	531	277	711	547	395	607	337	568	217	544	440	126	492	292	206	440	540	545	485	128	408	508	494	173
2	Night	337	326	407	290	432	373	264	393	350	615	411	213	414	248	358	207	324	347	242	456	479	148	351	343	215	217	230	278	328	481	164
3	Night	0	298	314	262	420	317	227	297	318	488	367	179	310	212	312	170	373	299	180	480	352	143	370	308	195	163	139	267	282	465	104
1	Day	797	785	766	631	908	1320	1241	1087	1497	1820	1253	1278	1239	878	1049	509	969	807	1306	967	862	513	806	879	1077	842	354	854	989	899	603
2	Day	0	575	629	481	800	1305	820	688	763	1487	1190	1292	951	730	893	359	694	684	1120	870	827	384	694	946	623	556	249	848	738	628	536
3	Day	0	473	718	428	701	1073	629	503	862	1548	788	1168	708	750	662	372	554	407	751	908	640	320	396	784	512	546	209	530	810	657	402
1	TOTAL	1270	1166	1241	846	1465	1814	1653	1618	1774	2531	1800	1673	1846	1215	1617	726	1513	1247	1432	1459	1154	719	1246	1419	1622	1327	482	1262	1497	1393	776
2	TOTAL	337	901	1036	771	1232	1678	1084	1081	1113	2102	1601	1505	1365	978	1251	566	1018	1031	1362	1326	1306	532	1045	1289	838	773	479	1126	1066	1109	700
3	TOTAL	0	771	1032	690	1121	1390	856	800	1180	2036	1155	1347	1018	962	974	542	927	706	931	1388	992	463	766	1092	707	709	348	797	1092	1122	506
