fly	phase	day	lengths
fly_15	Night	1	145
fly_15	Night	1	69
fly_15	Night	1	39
fly_16	Night	1	5
fly_16	Night	1	7
fly_16	Night	1	10
fly_16	Night	1	7
fly_16	Night	1	9
fly_16	Night	1	6
fly_16	Night	1	9
fly_16	Night	1	12
fly_16	Night	1	5
fly_16	Night	1	7
fly_16	Night	1	15
fly_16	Night	1	18
fly_16	Night	1	6
fly_16	Night	1	9
fly_16	Night	1	15
fly_16	Night	1	6
fly_16	Night	1	12
fly_16	Night	1	6
fly_16	Night	1	17
fly_16	Night	1	6
fly_16	Night	1	11
fly_16	Night	1	21
fly_16	Night	1	45
fly_16	Night	1	14
fly_16	Night	1	30
fly_16	Night	1	59
fly_16	Night	1	10
fly_16	Night	1	7
fly_16	Night	1	7
fly_16	Night	1	33
fly_16	Night	1	72
fly_17	Night	1	7
fly_17	Night	1	6
fly_17	Night	1	13
fly_17	Night	1	9
fly_17	Night	1	11
fly_17	Night	1	10
fly_17	Night	1	8
fly_17	Night	1	15
fly_17	Night	1	15
fly_17	Night	1	10
fly_17	Night	1	12
fly_17	Night	1	18
fly_17	Night	1	9
fly_17	Night	1	42
fly_17	Night	1	13
fly_17	Night	1	13
fly_17	Night	1	15
fly_17	Night	1	8
fly_17	Night	1	5
fly_17	Night	1	5
fly_17	Night	1	15
fly_17	Night	1	16
fly_17	Night	1	10
fly_17	Night	1	9
fly_17	Night	1	14
fly_17	Night	1	15
fly_17	Night	1	28
fly_17	Night	1	43
fly_18	Night	1	5
fly_18	Night	1	5
fly_18	Night	1	5
fly_18	Night	1	7
fly_18	Night	1	5
fly_18	Night	1	6
fly_18	Night	1	5
fly_18	Night	1	7
fly_18	Night	1	7
fly_18	Night	1	5
fly_18	Night	1	7
fly_18	Night	1	31
fly_18	Night	1	82
fly_18	Night	1	77
fly_18	Night	1	131
fly_18	Night	1	16
fly_18	Night	1	10
fly_19	Night	1	21
fly_19	Night	1	12
fly_19	Night	1	5
fly_19	Night	1	6
fly_19	Night	1	7
fly_19	Night	1	13
fly_19	Night	1	13
fly_19	Night	1	9
fly_19	Night	1	5
fly_19	Night	1	14
fly_19	Night	1	25
fly_19	Night	1	7
fly_19	Night	1	32
fly_19	Night	1	34
fly_19	Night	1	33
fly_19	Night	1	41
fly_19	Night	1	44
fly_19	Night	1	183
fly_19	Night	1	13
fly_19	Night	1	12
fly_19	Night	1	75
fly_19	Night	1	35
fly_20	Night	1	5
fly_20	Night	1	5
fly_20	Night	1	11
fly_20	Night	1	8
fly_20	Night	1	10
fly_20	Night	1	6
fly_20	Night	1	12
fly_20	Night	1	14
fly_20	Night	1	15
fly_20	Night	1	10
fly_20	Night	1	52
fly_20	Night	1	152
fly_20	Night	1	184
fly_21	Night	1	5
fly_21	Night	1	6
fly_21	Night	1	7
fly_21	Night	1	8
fly_21	Night	1	6
fly_21	Night	1	6
fly_21	Night	1	7
fly_21	Night	1	6
fly_21	Night	1	6
fly_21	Night	1	5
fly_21	Night	1	8
fly_21	Night	1	18
fly_21	Night	1	21
fly_21	Night	1	8
fly_21	Night	1	44
