fly_id	Subset_1	Subset_2	Subset_3
fly_01	167.839879154079	360	360
fly_02	27.9377049180328	360	360
fly_03	360	360	287.91364902507
fly_04	130.016759776536	360	360
fly_05	82.0215384615385	360	360
fly_06	66.6597014925373	360	360
fly_07	360	360	360
fly_08	262.315942028985	97.2971428571429	187.3081232493
fly_09	129.879310344828	265.852367688022	360
fly_10	29.5222551928783	199.891364902507	360
fly_11	184.152046783626	360	360
fly_12	360	360	360
fly_13	79.6909090909091	229.25069637883	279.72625698324
fly_14	32.746835443038	185.286532951289	360
fly_15	88.135446685879	229.508379888268	360
fly_16	42.7009345794393	217.438596491228	253.818941504178
fly_17	22.6146179401993	323.011142061281	180.204545454545
fly_18	90.9821428571429	360	360
fly_19	118.369014084507	135.827195467422	284.171830985916
fly_20	161.123595505618	360	360
fly_21	323.011142061281	328.426183844011	159.649859943978
fly_22	153.101408450704	360	360
fly_23	330.826815642458	360	360
fly_24	360	326.110481586402	360
fly_25	243.974647887324	360	360
fly_26	334.023668639053	360	360
fly_28	262.150837988827	330.25348189415	155.161849710983
fly_29	324.620689655172	360	360
fly_30	64.6149425287356	360	311.552112676056
fly_31	289.361581920904	127.063037249284	360
fly_32	94.0112359550562	360	360
