fly_id	Night_1	Night_2	Night_3	Day_1	Day_2	Day_3
fly_01	18	12	1	18	1	1
fly_02	28	5	9	24	34	33
fly_03	14	8	10	18	20	15
fly_04	7	7	7	12	6	13
fly_05	25	7	8	27	27	30
fly_06	18	12	7	19	21	17
fly_07	14	6	6	23	16	19
fly_08	13	12	7	22	18	20
fly_09	13	5	5	20	34	34
fly_10	21	7	3	18	21	19
fly_11	12	3	7	16	18	21
fly_12	12	5	6	17	19	24
fly_13	24	6	8	20	28	25
fly_14	31	14	11	19	32	25
fly_15	18	10	6	17	19	17
fly_16	31	17	11	20	16	18
fly_17	28	13	11	19	18	19
fly_18	17	12	9	20	16	20
fly_19	22	12	9	18	20	19
fly_20	13	7	3	15	13	14
fly_21	17	9	7	11	16	13
fly_22	22	14	7	21	19	20
fly_23	19	6	7	21	17	17
fly_24	8	10	3	12	13	14
fly_25	16	6	10	15	18	14
fly_26	12	6	6	13	20	19
fly_28	13	10	14	26	25	26
fly_29	15	9	6	23	28	28
fly_30	18	8	7	25	25	19
fly_31	15	11	5	21	22	27
fly_32	21	6	12	15	16	15
