fly_id	Subset_1	Subset_2	Subset_3
fly_01	6	0	0
fly_02	11	0	0
fly_03	0	0	1
fly_04	2	0	0
fly_05	7	0	0
fly_06	5	0	0
fly_07	0	0	0
fly_08	2	4	3
fly_09	2	1	0
fly_10	16	1	0
fly_11	5	0	0
fly_12	0	0	0
fly_13	12	1	2
fly_14	15	2	0
fly_15	8	2	0
fly_16	10	3	1
fly_17	16	1	1
fly_18	5	0	0
fly_19	5	4	2
fly_20	2	0	0
fly_21	1	1	3
fly_22	4	0	0
fly_23	2	0	0
fly_24	0	0	0
fly_25	4	0	0
fly_26	0	0	0
fly_28	1	1	1
fly_29	1	0	0
fly_30	8	0	2
fly_31	2	5	0
fly_32	4	0	0
