fly_id	mo_anticip_1	mo_anticip_2	mo_anticip_3	ev_anticip_1	ev_anticip_2	ev_anticip_3
fly_01	-0.822222222222222	NA	NA	0.694444444444444	NA	NA
fly_02	-0.306666666666667	NA	NA	0.479820627802691	0.398963730569948	0.379310344827586
fly_03	NA	NA	-1	0.918918918918919	0.131578947368421	-0.0684931506849315
fly_04	-0.333333333333333	NA	NA	1	1	0.795918367346939
fly_05	0.113207547169811	NA	NA	0.0822510822510823	0.389671361502347	0.296969696969697
fly_06	-0.255813953488372	NA	NA	-0.229090909090909	0.0684931506849315	-0.0467289719626168
fly_07	NA	NA	NA	0.485714285714286	0.471698113207547	0.176470588235294
fly_08	-1	-0.333333333333333	-1	0.063953488372093	0.493333333333333	0.383333333333333
fly_09	-1	-1	NA	-0.0940499040307102	0.0223880597014925	-0.255813953488372
fly_10	-0.172413793103448	-1	NA	0.0615711252653928	0.0956521739130435	0.183838383838384
fly_11	-0.714285714285714	NA	NA	0.344444444444444	0.253644314868805	0.114391143911439
fly_12	NA	NA	NA	-0.423255813953488	-0.336170212765957	-0.558974358974359
fly_13	-0.478260869565217	-1	-1	0.306501547987616	-0.0897009966777409	0.463203463203463
fly_14	-0.372549019607843	-1	NA	0.1375	0.178571428571429	-0.11864406779661
fly_15	-0.428571428571429	-1	NA	0.158301158301158	0.338709677419355	0.45
fly_16	-0.181818181818182	-1	-1	0.0344827586206897	-0.301587301587302	0.123809523809524
fly_17	-0.2	-1	-1	0.327731092436975	0.051948051948052	0.25
fly_18	0.636363636363636	NA	NA	0.3	0.216216216216216	0.0571428571428571
fly_19	0.555555555555556	-0.857142857142857	-0.6	0.190721649484536	0.0278884462151394	0.297872340425532
fly_20	-1	NA	NA	0.949367088607595	0.5	0.0208333333333333
fly_21	-1	-1	-1	0.666666666666667	0.119047619047619	-0.159420289855072
fly_22	-1	NA	NA	0.325301204819277	0.45	0.142857142857143
fly_23	-1	NA	NA	0.867768595041322	0.782178217821782	-0.181818181818182
fly_24	NA	-1	NA	1	0.292134831460674	0.340909090909091
fly_25	0.857142857142857	NA	NA	0.719745222929936	0.716535433070866	0.15606936416185
fly_26	-1	NA	NA	0.236363636363636	0.0443349753694581	0.71563981042654
fly_28	-1	-1	-1	-0.0693069306930693	0.0731707317073171	0.442622950819672
fly_29	-1	NA	NA	0.450704225352113	-0.025	0.315789473684211
fly_30	-0.578947368421053	NA	-1	-0.0650406504065041	-0.210810810810811	0.230125523012552
fly_31	-1	0.285714285714286	NA	0.609302325581395	0.724137931034483	0.5
fly_32	-0.6	NA	NA	0.794117647058823	0.441860465116279	0.647058823529412
